rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
20910,34,Goldman Sachs,Neutral,,2025-04-08
20911,34,Guggenheim,Buy,,2025-03-18
20912,34,Guggenheim,Buy,,2025-03-12
20913,34,Guggenheim,Buy,,2025-02-10
20914,34,UBS,Neutral,,2025-02-05
20915,34,Citigroup,Neutral,,2025-01-28
20916,34,UBS,Neutral,,2025-01-08
20917,34,Truist Securities,Buy,,2024-12-18
20918,34,Guggenheim,Buy,,2024-12-11
20919,34,Wolfe Research,Underperform,,2024-11-15
20920,34,Morgan Stanley,Neutral,,2024-10-30
20921,34,Cantor Fitzgerald,Overweight,,2024-10-25
20922,34,Cantor Fitzgerald,Overweight,,2024-10-23
20923,34,Bernstein,Market Perform,,2024-10-17
20924,34,Morgan Stanley,Neutral,,2024-10-11
20925,34,Cantor Fitzgerald,Overweight,,2024-10-03
20926,34,Cantor Fitzgerald,Overweight,,2024-09-16
20927,34,Cantor Fitzgerald,Overweight,,2024-09-09
20928,34,Cantor Fitzgerald,Overweight,,2024-08-19
20929,34,Daiwa Capital,Outperform,,2024-08-08
20930,34,Barclays,Neutral,,2024-07-31
20931,34,Wells Fargo,Neutral,,2024-07-31
20932,34,Cantor Fitzgerald,Overweight,,2024-07-31
20933,34,UBS,Neutral,,2024-07-31
20934,34,Barclays,Neutral,,2024-07-10
20935,34,Cantor Fitzgerald,Overweight,,2024-07-10
20936,34,Cantor Fitzgerald,Overweight,,2024-07-01
20937,34,Cantor Fitzgerald,Overweight,,2024-06-26
20938,34,Cantor Fitzgerald,Overweight,,2024-06-20
20939,34,Cantor Fitzgerald,Overweight,,2024-06-17
20940,34,Morgan Stanley,Neutral,,2024-05-02
20941,34,BMO Capital,Outperform,,2024-05-02
20942,34,Cantor Fitzgerald,Overweight,,2024-04-18
20943,34,Cantor Fitzgerald,Overweight,,2024-04-15
20944,34,Cantor Fitzgerald,Overweight,,2024-04-05
20945,34,Cantor Fitzgerald,Overweight,,2024-04-01
20946,34,Argus Research,Hold,,2024-03-22
20947,34,Cantor Fitzgerald,Overweight,,2024-03-04
20948,34,Cantor Fitzgerald,Overweight,,2024-03-01
20949,34,Guggenheim,Buy,,2024-02-23
20950,34,Cantor Fitzgerald,Overweight,,2024-01-31
20951,34,Cantor Fitzgerald,Overweight,,2024-01-09
20952,34,TD Cowen,Market Perform,,2024-01-04
20953,34,Truist Securities,Buy,,2023-12-14
20954,34,UBS,Neutral,,2023-12-14
20955,34,Barclays,Neutral,,2023-12-14
20956,34,Truist Securities,Buy,,2023-12-04
20957,34,Cantor Fitzgerald,Overweight,,2023-11-20
20958,34,Barclays,Neutral,,2023-11-01
20959,34,Morgan Stanley,Neutral,,2023-11-01
20960,34,Truist Securities,Buy,,2023-10-17
20961,34,Morgan Stanley,Neutral,,2023-10-17
20962,34,Wells Fargo,Neutral,,2023-10-17
20963,34,BMO Capital,Outperform,,2023-10-16
20964,34,Citigroup,Neutral,,2023-10-16
20965,34,JP Morgan,Neutral,,2023-10-16
20966,34,Wells Fargo,Neutral,,2023-10-16
20967,34,Jefferies,Buy,,2023-10-16
20968,34,JP Morgan,Neutral,,2023-10-06
20969,34,Cantor Fitzgerald,Overweight,,2023-10-02
20970,34,Cantor Fitzgerald,Overweight,,2023-09-18
20971,34,Truist Securities,Buy,,2023-09-13
20972,34,Cantor Fitzgerald,Overweight,,2023-09-05
20973,34,Cantor Fitzgerald,Overweight,,2023-08-30
20974,34,Cantor Fitzgerald,Overweight,,2023-08-22
20975,34,Truist Securities,Buy,,2023-08-02
20976,34,Morgan Stanley,Neutral,,2023-08-02
20977,34,BMO Capital,Outperform,,2023-08-02
20978,34,Morgan Stanley,Neutral,,2023-07-21
20979,34,HSBC,Buy,,2023-07-14
20980,34,Morgan Stanley,Neutral,,2023-07-11
20981,34,Barclays,Neutral,,2023-07-11
20982,34,Credit Suisse,Neutral,,2023-06-29
20983,34,Cantor Fitzgerald,Overweight,,2023-06-23
20984,34,Cantor Fitzgerald,Overweight,,2023-06-22
20985,34,Cantor Fitzgerald,Overweight,,2023-05-17
20986,34,Daiwa Capital,Neutral,,2023-05-11
20987,34,Credit Suisse,Outperform,,2023-05-03
20988,34,Barclays,Neutral,,2023-05-03
20989,34,B of A Securities,Neutral,,2023-04-21
20990,34,Barclays,Neutral,,2023-04-12
20991,34,Morgan Stanley,Neutral,,2023-04-10
20992,34,Wells Fargo,Neutral,,2023-03-17
20993,34,Jefferies,Hold,,2023-03-06
20994,34,Daiwa Capital,Outperform,,2023-02-07
20995,34,Morgan Stanley,Neutral,,2023-02-01
20996,34,Cantor Fitzgerald,Overweight,,2023-02-01
20997,34,Credit Suisse,Outperform,,2023-02-01
20998,34,BMO Capital,Outperform,,2023-02-01
20999,34,Barclays,Neutral,,2023-02-01
21000,34,Atlantic Equities,Neutral,,2023-02-01
21001,34,SVB Leerink,Market Perform,,2023-02-01
21002,34,UBS,Neutral,,2023-01-26
21003,34,Wells Fargo,Neutral,,2023-01-17
21004,34,B of A Securities,Neutral,,2023-01-04
21005,34,Morgan Stanley,Neutral,,2022-12-14
21006,34,Goldman Sachs,Buy,,2022-12-13
21007,34,Credit Suisse,Outperform,,2022-11-18
21008,34,SVB Leerink,Market Perform,,2022-11-03
21009,34,Wells Fargo,Overweight,,2022-11-02
21010,34,Barclays,Neutral,,2022-11-02
21011,34,Morgan Stanley,Neutral,,2022-11-02
21012,34,Morgan Stanley,Neutral,,2022-10-12
21013,34,Barclays,Neutral,,2022-10-12
21014,34,SVB Leerink,Market Perform,,2022-10-11
21015,34,Barclays,Neutral,,2022-08-01
21016,34,SVB Leerink,Market Perform,,2022-07-29
21017,34,Morgan Stanley,Neutral,,2022-07-08
21018,34,Morgan Stanley,Neutral,,2022-05-04
21019,34,Wells Fargo,Overweight,,2022-05-04
21020,34,Citigroup,Neutral,,2022-04-05
21021,34,Morgan Stanley,Neutral,,2022-02-10
21022,34,Wells Fargo,Overweight,,2022-01-07
21023,34,B of A Securities,Buy,,2022-01-05
21024,34,Goldman Sachs,Neutral,,2021-12-17
21025,34,SVB Leerink,Market Perform,,2021-12-15
21026,34,Mizuho,Neutral,,2021-12-14
21027,34,UBS,Buy,,2021-12-13
21028,34,Barclays,Neutral,,2021-12-10
21029,34,Wells Fargo,Overweight,,2021-12-09
21030,34,Morgan Stanley,Neutral,,2021-11-29
21031,34,BMO Capital,Outperform,,2021-11-19
21032,34,SVB Leerink,Market Perform,,2021-11-03
21033,34,Morgan Stanley,Neutral,,2021-10-12
21034,34,SVB Leerink,Market Perform,,2021-09-20
21035,34,Mizuho,Neutral,,2021-07-30
21036,34,Morgan Stanley,Neutral,,2021-07-29
21037,34,SVB Leerink,Market Perform,,2021-07-29
21038,34,RBC Capital,Market Perform,,2021-06-17
21039,34,Morgan Stanley,Neutral,,2021-05-10
21040,34,Mizuho,Neutral,,2021-05-06
